timestamp,longitude,latitude,altitude,v_north,v_east,v_down,a_north,a_east,a_down
0.0,116.3975,39.9087,100.0,0.0,0.0,0.0,0,2.0,0
0.0,116.3975117241484,39.9087,100.0,0.0,2.0,0.0,0,2.0,0
0.0,116.39754689659364,39.9087,100.0,0.0,4.0,0.0,0,2.0,0
0.0,116.39760551733569,39.9087,100.0,0.0,6.0,0.0,0,2.0,0
0.0,116.39768758637457,39.9087,100.0,0.0,8.0,0.0,0,2.0,0
0.0,116.39779310371027,39.9087,100.0,0.0,10.0,0.0,0,2.0,0
0.0,116.39792206934278,39.9087,100.0,0.0,12.0,0.0,0,2.0,0
0.0,116.39807448327213,39.9087,100.0,0.0,14.0,0.0,0,2.0,0
0.0,116.39825034549828,39.9087,100.0,0.0,16.0,0.0,0,2.0,0
0.0,116.39844965602127,39.9087,100.0,0.0,18.0,0.0,0,2.0,0
0.0,116.39867241484107,39.9087,100.0,0.0,20.0,0.0,0,2.0,0
0.0,116.3989186219577,39.9087,100.0,0.0,22.0,0.0,0,2.0,0
0.0,116.39918827737115,39.9087,100.0,0.0,24.0,0.0,0,2.0,0
0.0,116.39948138108143,39.9087,100.0,0.0,26.0,0.0,0,2.0,0
0.0,116.39979793308852,39.9087,100.0,0.0,28.0,0.0,0,2.0,0
0.0,116.40013793339243,39.9087,100.0,0.0,30.0,0.0,0,2.0,0
0.0,116.40050138199317,39.9087,100.0,0.0,32.0,0.0,0,2.0,0
0.0,116.40088827889072,39.9087,100.0,0.0,34.0,0.0,0,2.0,0
0.0,116.4012986240851,39.9087,100.0,0.0,36.0,0.0,0,2.0,0
0.0,116.4017324175763,39.9087,100.0,0.0,38.0,0.0,0,2.0,0
0.0,116.40218965936432,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.40265862530076,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.4031275912372,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.40359655717363,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.40406552311006,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.4045344890465,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.40500345498293,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.40547242091937,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.4059413868558,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.40641035279224,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.40687931872867,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.4073482846651,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.40781725060154,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.40828621653797,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.40875518247441,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.40922414841084,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.40969311434728,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.41016208028371,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.41063104622015,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.41110001215658,39.9087,100.0,0.0,40.0,0.0,0,0,0
0.0,116.41156897809302,39.9087,100.0,0.0,40.0,0.0,0,-2.0,0
0.0,116.41202621988104,39.9087,100.0,0.0,38.0,0.0,0,-2.0,0
0.0,116.41246001337224,39.9087,100.0,0.0,36.0,0.0,0,-2.0,0
0.0,116.41287035856662,39.9087,100.0,0.0,34.0,0.0,0,-2.0,0
0.0,116.41325725546417,39.9087,100.0,0.0,32.0,0.0,0,-2.0,0
0.0,116.41362070406491,39.9087,100.0,0.0,30.0,0.0,0,-2.0,0
0.0,116.41396070436882,39.9087,100.0,0.0,28.0,0.0,0,-2.0,0
0.0,116.41427725637591,39.9087,100.0,0.0,26.0,0.0,0,-2.0,0
0.0,116.41457036008619,39.9087,100.0,0.0,24.0,0.0,0,-2.0,0
0.0,116.41484001549964,39.9087,100.0,0.0,22.0,0.0,0,-2.0,0
0.0,116.41508622261627,39.9087,100.0,0.0,20.0,0.0,0,-2.0,0
0.0,116.41530898143607,39.9087,100.0,0.0,18.0,0.0,0,-2.0,0
0.0,116.41550829195906,39.9087,100.0,0.0,16.0,0.0,0,-2.0,0
0.0,116.41568415418521,39.9087,100.0,0.0,14.0,0.0,0,-2.0,0
0.0,116.41583656811456,39.9087,100.0,0.0,12.0,0.0,0,-2.0,0
0.0,116.41596553374707,39.9087,100.0,0.0,10.0,0.0,0,-2.0,0
0.0,116.41607105108277,39.9087,100.0,0.0,8.0,0.0,0,-2.0,0
0.0,116.41615312012165,39.9087,100.0,0.0,6.0,0.0,0,-2.0,0
0.0,116.4162117408637,39.9087,100.0,0.0,4.0,0.0,0,-2.0,0
0.0,116.41624691330894,39.9087,100.0,0.0,2.0,0.0,0,-2.0,0
0.0,116.41625863745735,39.9087,100.0,0.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.90870899321606,100.0,2.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.908735972864235,100.0,4.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.90878093894453,100.0,6.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.90884389145695,100.0,8.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.90892483040148,100.0,10.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.90902375577813,100.0,12.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.9091406675869,100.0,14.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.909275565827784,100.0,16.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.90942845050079,100.0,18.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.90959932160592,100.0,20.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.90978817914316,100.0,22.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.90999502311252,100.0,24.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.910219853514,100.0,26.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.9104626703476,100.0,28.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.91072347361332,100.0,30.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.911002263311154,100.0,32.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.911299039441104,100.0,34.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.911613802003174,100.0,36.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.911946550997364,100.0,38.0,0.0,0.0,2.0,0,0
0.0,116.41625863745735,39.91229728642367,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.91265701506604,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.913016743708404,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.91337647235077,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.913736200993135,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.9140959296355,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.914455658277866,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.91481538692023,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.9151751155626,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.91553484420496,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.91589457284733,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.916254301489694,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.91661403013206,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.916973758774425,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.91733348741679,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.917693216059156,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.91805294470152,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.91841267334389,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.91877240198625,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.91913213062862,100.0,40.0,0.0,0.0,0,0,0
0.0,116.41625863745735,39.919491859270984,100.0,40.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.91984259469729,100.0,38.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.92017534369148,100.0,36.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.92049010625355,100.0,34.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.9207868823835,100.0,32.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.92106567208134,100.0,30.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.92132647534706,100.0,28.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.921569292180656,100.0,26.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.921794122582135,100.0,24.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.922000966551494,100.0,22.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.92218982408874,100.0,20.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.922360695193866,100.0,18.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.92251357986687,100.0,16.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.92264847810776,100.0,14.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.92276538991653,100.0,12.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.922864315293175,100.0,10.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.92294525423771,100.0,8.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.923008206750126,100.0,6.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.92305317283042,100.0,4.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.9230801524786,100.0,2.0,0.0,0.0,-2.0,0,0
0.0,116.41625863745735,39.923089145694654,100.0,0.0,0.0,0.0,0,2.0,0
0.0,116.41627036406929,39.923089145694654,100.0,0.0,2.0,0.0,0,2.0,0
0.0,116.41630554390511,39.923089145694654,100.0,0.0,4.0,0.0,0,2.0,0
0.0,116.41636417696482,39.923089145694654,100.0,0.0,6.0,0.0,0,2.0,0
0.0,116.4164462632484,39.923089145694654,100.0,0.0,8.0,0.0,0,2.0,0
0.0,116.41655180275588,39.923089145694654,100.0,0.0,10.0,0.0,0,2.0,0
0.0,116.41668079548722,39.923089145694654,100.0,0.0,12.0,0.0,0,2.0,0
0.0,116.41683324144245,39.923089145694654,100.0,0.0,14.0,0.0,0,2.0,0
0.0,116.41700914062156,39.923089145694654,100.0,0.0,16.0,0.0,0,2.0,0
0.0,116.41720849302455,39.923089145694654,100.0,0.0,18.0,0.0,0,2.0,0
0.0,116.41743129865142,39.923089145694654,100.0,0.0,20.0,0.0,0,2.0,0
0.0,116.41767755750217,39.923089145694654,100.0,0.0,22.0,0.0,0,2.0,0
0.0,116.41794726957681,39.923089145694654,100.0,0.0,24.0,0.0,0,2.0,0
0.0,116.41824043487533,39.923089145694654,100.0,0.0,26.0,0.0,0,2.0,0
0.0,116.41855705339773,39.923089145694654,100.0,0.0,28.0,0.0,0,2.0,0
0.0,116.41889712514401,39.923089145694654,100.0,0.0,30.0,0.0,0,2.0,0
0.0,116.41926065011417,39.923089145694654,100.0,0.0,32.0,0.0,0,2.0,0
0.0,116.41964762830821,39.923089145694654,100.0,0.0,34.0,0.0,0,2.0,0
0.0,116.42005805972613,39.923089145694654,100.0,0.0,36.0,0.0,0,2.0,0
0.0,116.42049194436794,39.923089145694654,100.0,0.0,38.0,0.0,0,2.0,0
0.0,116.42094928223362,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42141834671125,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42188741118888,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.4223564756665,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42282554014413,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42329460462176,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42376366909939,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42423273357701,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42470179805464,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42517086253227,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.4256399270099,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42610899148752,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42657805596515,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42704712044278,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.4275161849204,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42798524939803,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42845431387566,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42892337835329,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42939244283092,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.42986150730854,39.923089145694654,100.0,0.0,40.0,0.0,0,0,0
0.0,116.43033057178617,39.923089145694654,100.0,0.0,40.0,0.0,0,-2.0,0
0.0,116.43078790965185,39.923089145694654,100.0,0.0,38.0,0.0,0,-2.0,0
0.0,116.43122179429366,39.923089145694654,100.0,0.0,36.0,0.0,0,-2.0,0
0.0,116.43163222571158,39.923089145694654,100.0,0.0,34.0,0.0,0,-2.0,0
0.0,116.43201920390563,39.923089145694654,100.0,0.0,32.0,0.0,0,-2.0,0
0.0,116.43238272887578,39.923089145694654,100.0,0.0,30.0,0.0,0,-2.0,0
0.0,116.43272280062206,39.923089145694654,100.0,0.0,28.0,0.0,0,-2.0,0
0.0,116.43303941914446,39.923089145694654,100.0,0.0,26.0,0.0,0,-2.0,0
0.0,116.43333258444298,39.923089145694654,100.0,0.0,24.0,0.0,0,-2.0,0
0.0,116.43360229651762,39.923089145694654,100.0,0.0,22.0,0.0,0,-2.0,0
0.0,116.43384855536837,39.923089145694654,100.0,0.0,20.0,0.0,0,-2.0,0
0.0,116.43407136099525,39.923089145694654,100.0,0.0,18.0,0.0,0,-2.0,0
0.0,116.43427071339823,39.923089145694654,100.0,0.0,16.0,0.0,0,-2.0,0
0.0,116.43444661257735,39.923089145694654,100.0,0.0,14.0,0.0,0,-2.0,0
0.0,116.43459905853257,39.923089145694654,100.0,0.0,12.0,0.0,0,-2.0,0
0.0,116.43472805126392,39.923089145694654,100.0,0.0,10.0,0.0,0,-2.0,0
0.0,116.43483359077139,39.923089145694654,100.0,0.0,8.0,0.0,0,-2.0,0
0.0,116.43491567705497,39.923089145694654,100.0,0.0,6.0,0.0,0,-2.0,0
0.0,116.43497431011468,39.923089145694654,100.0,0.0,4.0,0.0,0,-2.0,0
0.0,116.4350094899505,39.923089145694654,100.0,0.0,2.0,0.0,0,-2.0,0
0.0,116.43502121656245,39.923089145694654,100.0,0.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.9230801524786,100.0,-2.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.92305317283042,100.0,-4.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.923008206750126,100.0,-6.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.92294525423771,100.0,-8.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.922864315293175,100.0,-10.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.92276538991653,100.0,-12.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.92264847810776,100.0,-14.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.92251357986687,100.0,-16.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.922360695193866,100.0,-18.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.92218982408874,100.0,-20.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.922000966551494,100.0,-22.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.921794122582135,100.0,-24.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.921569292180656,100.0,-26.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.92132647534706,100.0,-28.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.92106567208134,100.0,-30.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.9207868823835,100.0,-32.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.92049010625355,100.0,-34.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.92017534369148,100.0,-36.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.91984259469729,100.0,-38.0,0.0,0.0,-2.0,0,0
0.0,116.43502121656245,39.919491859270984,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.91913213062862,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.91877240198625,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.91841267334389,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.91805294470152,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.917693216059156,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.91733348741679,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.916973758774425,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.91661403013206,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.916254301489694,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.91589457284733,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.91553484420496,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.9151751155626,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.91481538692023,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.914455658277866,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.9140959296355,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.913736200993135,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.91337647235077,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.913016743708404,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.91265701506604,100.0,-40.0,0.0,0.0,0,0,0
0.0,116.43502121656245,39.91229728642367,100.0,-40.0,0.0,0.0,2.0,0,0
0.0,116.43502121656245,39.911946550997364,100.0,-38.0,0.0,0.0,2.0,0,0
0.0,116.43502121656245,39.911613802003174,100.0,-36.0,0.0,0.0,2.0,0,0
0.0,116.43502121656245,39.911299039441104,100.0,-34.0,0.0,0.0,2.0,0,0
0.0,116.43502121656245,39.911002263311154,100.0,-32.0,0.0,0.0,2.0,0,0
0.0,116.43502121656245,39.91072347361332,100.0,-30.0,0.0,0.0,2.0,0,0
0.0,116.43502121656245,39.9104626703476,100.0,-28.0,0.0,0.0,2.0,0,0
0.0,116.43502121656245,39.910219853514,100.0,-26.0,0.0,0.0,2.0,0,0
0.0,116.43502121656245,39.90999502311252,100.0,-24.0,0.0,0.0,2.0,0,0
0.0,116.43502121656245,39.90978817914316,100.0,-22.0,0.0,0.0,2.0,0,0
0.0,116.43502121656245,39.90959932160592,100.0,-20.0,0.0,0.0,2.0,0,0
